C1,C2,C3,C4,C5,C6,Tarih
İyi,Müzik Dinlemek,Kimse yok,Hayır,Hayır,Evet,Sun Jun 06 2021 23:51:42 GMT+0300 (+03)
Mutsuz,Çalışma,Kimse yok,Evet,Evet,Bilmiyorum,Mon Jun 07 2021 00:25:13 GMT+0300 (+03)
Mutsuz,Çalışma,Kimse yok,Evet,Evet,Bilmiyorum,Mon Jun 07 2021 00:39:08 GMT+0300 (+03)
Mutsuz,Çalışma,Kimse yok,Evet,Evet,Hayır,Mon Jun 07 2021 01:58:27 GMT+0300 (+03)
Kötü,Çalışma,Kimse yok,Evet,Bilmiyorum,Hayır,Mon Jun 07 2021 02:15:49 GMT+0300 (+03)
İyi,Dinlenme,Kimse yok,Hayır,Bilmiyorum,Evet,Mon Jun 07 2021 11:45:00 GMT+0300 (+03)
Gergin,Sohbet,Aile Üyeleri,Bilmiyorum,Bilmiyorum,Evet,Mon Jun 07 2021 12:53:14 GMT+0300 (+03)
Yorgun,İş,Kimse yok,Bilmiyorum,Bilmiyorum,Bilmiyorum,Mon Jun 07 2021 13:39:53 GMT+0300 (+03)
Kötü,Çalışma,Kimse yok,Bilmiyorum,Bilmiyorum,Bilmiyorum,Mon Jun 07 2021 14:17:52 GMT+0300 (+03)
İyi,Video İzlemek,Aile Üyeleri,Hayır,Hayır,Evet,Mon Jun 07 2021 16:16:39 GMT+0300 (+03)
İyi,Yeme / İçme,Aile Üyeleri,Hayır,Hayır,Evet,Mon Jun 07 2021 18:02:52 GMT+0300 (+03)
Üzgün,Çalışma,Kimse yok,Bilmiyorum,Bilmiyorum,Bilmiyorum,Mon Jun 07 2021 20:05:19 GMT+0300 (+03)
Kötü,Dinlenme,Aile Üyeleri,Bilmiyorum,Bilmiyorum,Bilmiyorum,Tue Jun 08 2021 12:05:51 GMT+0300 (+03)
Yorgun,Çalışma,Kimse yok,Bilmiyorum,Bilmiyorum,Bilmiyorum,Tue Jun 08 2021 12:06:10 GMT+0300 (+03)
İyi,Video İzlemek,Aile Üyeleri,Hayır,Bilmiyorum,Bilmiyorum,Tue Jun 08 2021 15:52:17 GMT+0300 (+03)
Kızgın,Yeme / İçme,Aile Üyeleri,Evet,Evet,Bilmiyorum,Tue Jun 08 2021 18:06:23 GMT+0300 (+03)
Nötr,Video İzlemek,Kimse yok,Bilmiyorum,Bilmiyorum,Bilmiyorum,Wed Jun 09 2021 12:04:26 GMT+0300 (+03)
Yorgun,Dinlenme,Kimse yok,Bilmiyorum,Evet,Bilmiyorum,Wed Jun 09 2021 14:44:56 GMT+0300 (+03)
Gergin,Video İzlemek,Aile Üyeleri,Bilmiyorum,Evet,Bilmiyorum,Wed Jun 09 2021 16:19:17 GMT+0300 (+03)
Hasta,Sohbet,Aile Üyeleri,Evet,Evet,Bilmiyorum,Wed Jun 09 2021 18:17:09 GMT+0300 (+03)
Yorgun,Dinlenme,Aile Üyeleri,Evet,Evet,Bilmiyorum,Wed Jun 09 2021 19:26:44 GMT+0300 (+03)
İyi,Boş zaman,Aile Üyeleri,Hayır,Hayır,Evet,Thu Jun 10 2021 12:47:38 GMT+0300 (+03)
Kötü,Temizlik,Aile Üyeleri,Bilmiyorum,Evet,Bilmiyorum,Thu Jun 10 2021 16:07:49 GMT+0300 (+03)
İyi,Yeme / İçme,Aile Üyeleri,Hayır,Hayır,Evet,Thu Jun 10 2021 16:08:06 GMT+0300 (+03)
Kötü,Sohbet,Arkadaşlar,Evet,Evet,Bilmiyorum,Thu Jun 10 2021 23:05:16 GMT+0300 (+03)
Mutsuz,Boş zaman,Kimse yok,Bilmiyorum,Evet,Bilmiyorum,Fri Jun 11 2021 01:57:49 GMT+0300 (+03)
Endişeli,Sohbet,Aile Üyeleri,Bilmiyorum,Evet,Bilmiyorum,Fri Jun 11 2021 11:42:37 GMT+0300 (+03)
Kötü,Çalışma,Kimse yok,Bilmiyorum,Bilmiyorum,Bilmiyorum,Fri Jun 11 2021 11:48:49 GMT+0300 (+03)
Üzgün,Çalışma,Kimse yok,Evet,Evet,Bilmiyorum,Fri Jun 11 2021 12:03:46 GMT+0300 (+03)
Endişeli,Sohbet,Arkadaşlar,Evet,Evet,Bilmiyorum,Fri Jun 11 2021 22:42:30 GMT+0300 (+03)
İyi,Yeme / İçme,Aile Üyeleri,Hayır,Hayır,Evet,Sat Jun 12 2021 10:50:10 GMT+0300 (+03)
İyi,Dinlenme,Aile Üyeleri,Hayır,Hayır,Evet,Sat Jun 12 2021 12:41:04 GMT+0300 (+03)
Yorgun,Çalışma,Aile Üyeleri,Bilmiyorum,Bilmiyorum,Bilmiyorum,Sat Jun 12 2021 16:54:57 GMT+0300 (+03)
Heyecanlı,Sohbet,Aile Üyeleri,Bilmiyorum,Bilmiyorum,Bilmiyorum,Sat Jun 12 2021 17:12:55 GMT+0300 (+03)
Gergin,Sohbet,Aile Üyeleri,Bilmiyorum,Bilmiyorum,Bilmiyorum,Sun Jun 13 2021 10:08:54 GMT+0300 (+03)
İyi,Dinlenme,Aile Üyeleri,Bilmiyorum,Bilmiyorum,Bilmiyorum,Sun Jun 13 2021 12:49:43 GMT+0300 (+03)
İyi,Sohbet,Aile Üyeleri,Hayır,Hayır,Evet,Sun Jun 13 2021 13:15:54 GMT+0300 (+03)
Kötü,Sohbet,Aile Üyeleri,Evet,Bilmiyorum,Hayır,Sun Jun 13 2021 14:34:03 GMT+0300 (+03)
Heyecanlı,Sohbet,Yabancılar,Bilmiyorum,Evet,Evet,Mon Jun 14 2021 11:00:34 GMT+0300 (+03)
Heyecanlı,Spor,Kimse yok,Bilmiyorum,Bilmiyorum,Evet,Mon Jun 14 2021 13:26:01 GMT+0300 (+03)
İyi,Diğer,Aile Üyeleri,Hayır,Hayır,Evet,Mon Jun 14 2021 19:24:38 GMT+0300 (+03)
Yorgun,Sohbet,Aile Üyeleri,Evet,Evet,Bilmiyorum,Mon Jun 14 2021 22:01:00 GMT+0300 (+03)
Yorgun,Sohbet,Aile Üyeleri,Evet,Evet,Hayır,Mon Jun 14 2021 23:01:00 GMT+0300 (+03)
Üzgün,Müzik Dinlemek,Kimse yok,Evet,Evet,Bilmiyorum,Tue Jun 15 2021 11:42:48 GMT+0300 (+03)
Üzgün,Dinlenme,Kimse yok,Evet,Evet,Bilmiyorum,Tue Jun 15 2021 11:57:35 GMT+0300 (+03)
Yorgun,Dinlenme,Kimse yok,Hayır,Evet,Bilmiyorum,Tue Jun 15 2021 19:21:06 GMT+0300 (+03)
Yorgun,Dinlenme,Kimse yok,Hayır,Hayır,Bilmiyorum,Tue Jun 15 2021 20:56:15 GMT+0300 (+03)
İyi,Yeme / İçme,Aile Üyeleri,Bilmiyorum,Evet,Evet,Wed Jun 16 2021 14:05:39 GMT+0300 (+03)
Yorgun,Yeme / İçme,Aile Üyeleri,Hayır,Bilmiyorum,Bilmiyorum,Wed Jun 16 2021 16:19:45 GMT+0300 (+03)
Gergin,Çalışma,Kimse yok,Evet,Evet,Bilmiyorum,Wed Jun 16 2021 17:45:24 GMT+0300 (+03)
Endişeli,Çalışma,Kimse yok,Evet,Evet,Hayır,Wed Jun 16 2021 20:05:39 GMT+0300 (+03)
Gergin,Çalışma,Kimse yok,Evet,Evet,Hayır,Wed Jun 16 2021 19:05:39 GMT+0300 (+03)
İyi,Dinlenme,Kimse yok,Hayır,Hayır,Evet,Thu Jun 17 2021 10:23:52 GMT+0300 (+03)
İyi,Farkındalık Çalışmaları,Kimse yok,Hayır,Hayır,Evet,Thu Jun 17 2021 11:10:23 GMT+0300 (+03)
Rahat,Farkındalık Çalışmaları,Kimse yok,Hayır,Bilmiyorum,Bilmiyorum,Thu Jun 17 2021 11:10:57 GMT+0300 (+03)
Endişeli,Diğer,Kimse yok,Evet,Evet,Bilmiyorum,Thu Jun 17 2021 16:03:40 GMT+0300 (+03)
Gergin,Sohbet,Aile Üyeleri,Evet,Evet,Bilmiyorum,Thu Jun 17 2021 20:24:59 GMT+0300 (+03)
Gergin,Sohbet,Birçok kişi,Evet,Evet,Evet,Fri Jun 18 2021 14:17:21 GMT+0300 (+03)
İyi,Video İzlemek,Aile Üyeleri,Hayır,Hayır,Evet,Fri Jun 18 2021 17:33:07 GMT+0300 (+03)
Endişeli,Sohbet,Aile Üyeleri,Evet,Evet,Evet,Fri Jun 18 2021 17:45:07 GMT+0300 (+03)
Gergin,Sohbet,Aile Üyeleri,Evet,Evet,Bilmiyorum,Fri Jun 18 2021 20:13:16 GMT+0300 (+03)
Gergin,Sohbet,Aile Üyeleri,Evet,Evet,Evet,Sat Jun 19 2021 00:41:18 GMT+0300 (+03)
İyi,Diğer,Aile Üyeleri,Hayır,Hayır,Evet,Sat Jun 19 2021 13:34:59 GMT+0300 (+03)
İyi,Sohbet,Aile Üyeleri,Hayır,Hayır,Evet,Sat Jun 19 2021 15:49:49 GMT+0300 (+03)
İyi,Sohbet,Aile Üyeleri,Bilmiyorum,Bilmiyorum,Bilmiyorum,Sat Jun 19 2021 18:44:19 GMT+0300 (+03)
Yorgun,Sohbet,Aile Üyeleri,Bilmiyorum,Bilmiyorum,Hayır,Sat Jun 19 2021 20:02:30 GMT+0300 (+03)
Kötü,Çalışma,Kimse yok,Evet,Evet,Bilmiyorum,Sun Jun 20 2021 01:06:14 GMT+0300 (+03)
İyi,Dinlenme,Kimse yok,Evet,Hayır,Bilmiyorum,Sun Jun 20 2021 11:48:48 GMT+0300 (+03)
İyi,Yeme / İçme,Aile Üyeleri,Hayır,Bilmiyorum,Bilmiyorum,Sun Jun 20 2021 13:14:00 GMT+0300 (+03)
İyi,Müzik Dinlemek,Kimse yok,Hayır,Hayır,Evet,Sun Jun 20 2021 14:32:12 GMT+0300 (+03)
Gergin,Sohbet,Aile Üyeleri,Evet,Bilmiyorum,Bilmiyorum,Sun Jun 20 2021 19:55:04 GMT+0300 (+03)
Kötü,Çalışma,Kimse yok,Evet,Evet,Evet,Mon Jun 21 2021 14:09:39 GMT+0300 (+03)
Kötü,Çalışma,Kimse yok,Evet,Evet,Bilmiyorum,Mon Jun 21 2021 15:06:46 GMT+0300 (+03)
Kötü,Spor,Kimse yok,Evet,Evet,Evet,Mon Jun 21 2021 16:39:43 GMT+0300 (+03)
İyi,Çalışma,Kimse yok,Hayır,Hayır,Evet,Mon Jun 21 2021 22:52:33 GMT+0300 (+03)
Mutsuz,Dinlenme,Kimse yok,Bilmiyorum,Evet,Bilmiyorum,Tue Jun 22 2021 17:30:54 GMT+0300 (+03)
Kötü,Müzik Dinlemek,Kimse yok,Bilmiyorum,Bilmiyorum,Bilmiyorum,Wed Jun 23 2021 13:20:22 GMT+0300 (+03)
Üzgün,Çalışma,Kimse yok,Evet,Evet,Bilmiyorum,Wed Jun 23 2021 13:48:26 GMT+0300 (+03)
Endişeli,Spor,Kimse yok,Bilmiyorum,Hayır,Bilmiyorum,Fri Apr 30 2021 15:37:40 GMT+0300 (+03)
Yorgun,Spor,Kimse yok,Bilmiyorum,Bilmiyorum,Bilmiyorum,Fri Apr 30 2021 15:38:28 GMT+0300 (+03)
Gergin,Yeme / İçme,Kimse yok,Evet,Hayır,Evet,Fri Apr 30 2021 18:46:54 GMT+0300 (+03)
Yorgun,Spor,Kimse yok,Bilmiyorum,Evet,Bilmiyorum,Fri Apr 30 2021 21:08:06 GMT+0300 (+03)
Yorgun,Çalışma,Kimse yok,Evet,Bilmiyorum,Hayır,Fri Apr 30 2021 21:08:41 GMT+0300 (+03)
Yorgun,Çalışma,Kimse yok,Evet,Evet,Hayır,Fri Apr 30 2021 21:09:14 GMT+0300 (+03)
Üzgün,Sohbet,Aile Üyeleri,Evet,Hayır,Bilmiyorum,Sat May 01 2021 13:55:02 GMT+0300 (+03)
Üzgün,Sohbet,Aile Üyeleri,Evet,Evet,Evet,Sat May 01 2021 14:24:36 GMT+0300 (+03)
Kötü,Çalışma,Kimse yok,Evet,Bilmiyorum,Bilmiyorum,Sat May 01 2021 21:22:54 GMT+0300 (+03)
Kötü,Çalışma,Kimse yok,Evet,Hayır,Bilmiyorum,Sat May 01 2021 21:28:40 GMT+0300 (+03)
Gergin,Çalışma,Kimse yok,Evet,Evet,Hayır,Sun May 02 2021 00:18:02 GMT+0300 (+03)
Kötü,Çalışma,Kimse yok,Evet,Evet,Bilmiyorum,Sun May 02 2021 22:44:02 GMT+0300 (+03)
Kötü,Çalışma,Kimse yok,Evet,Evet,Hayır,Sun May 02 2021 22:48:02 GMT+0300 (+03)
Gergin,Çalışma,Kimse yok,Evet,Evet,Hayır,Sun May 02 2021 22:52:02 GMT+0300 (+03)
Üzgün,Çalışma,Kimse yok,Evet,Evet,Bilmiyorum,Sun May 02 2021 22:59:02 GMT+0300 (+03)
Kötü,Çalışma,Kimse yok,Evet,Evet,Bilmiyorum,Mon May 03 2021 01:05:06 GMT+0300 (+03)
Yorgun,Spor,Kimse yok,Bilmiyorum,Bilmiyorum,Bilmiyorum,Mon May 03 2021 02:01:06 GMT+0300 (+03)
Kızgın,Spor,Kimse yok,Bilmiyorum,Bilmiyorum,Bilmiyorum,Mon May 03 2021 02:04:09 GMT+0300 (+03)
Yorgun,Spor,Kimse yok,Bilmiyorum,Bilmiyorum,Bilmiyorum,Mon May 03 2021 02:04:46 GMT+0300 (+03)
Kötü,Çalışma,Kimse yok,Evet,Evet,Evet,Mon May 03 2021 05:04:46 GMT+0300 (+03)
Mutsuz,Çalışma,Kimse yok,Evet,Evet,Hayır,Tue May 04 2021 00:51:31 GMT+0300 (+03)
Kötü,Çalışma,Kimse yok,Evet,Evet,Hayır,Tue May 04 2021 00:52:50 GMT+0300 (+03)
Mutsuz,Çalışma,Kimse yok,Evet,Evet,Hayır,Wed May 05 2021 16:53:31 GMT+0300 (+03)
Mutsuz,Çalışma,Kimse yok,Evet,Evet,Bilmiyorum,Wed May 05 2021 17:15:53 GMT+0300 (+03)
Mutsuz,Çalışma,Kimse yok,Evet,Evet,Bilmiyorum,Wed May 05 2021 00:53:53 GMT+0300 (+03)
Gergin,Çalışma,Kimse yok,Evet,Evet,Bilmiyorum,Wed May 05 2021 00:53:53 GMT+0300 (+03)
Endişeli,Çalışma,Kimse yok,Evet,Evet,Bilmiyorum,Fri May 06 2021 00:55:50 GMT+0300 (+03)
Kötü,Çalışma,Kimse yok,Evet,Evet,Hayır,Fri May 06 2021 01:55:50 GMT+0300 (+03)
Kızgın,Çalışma,Kimse yok,Evet,Evet,Bilmiyorum,Fri May 06 2021 02:55:50 GMT+0300 (+03)
İyi,Dinlenme,Kimse yok,Hayır,Bilmiyorum,Evet,Thu Jun 24 2021 14:44:32 GMT+0300 (+03)
İyi,Video İzlemek,Kimse yok,Hayır,Hayır,Evet,Thu Jun 24 2021 15:07:24 GMT+0300 (+03)
Kötü,Çalışma,Kimse yok,Evet,Evet,Evet,Thu Jun 24 2021 17:45:22 GMT+0300 (+03)
Yorgun,Çalışma,Aile Üyeleri,Bilmiyorum,Bilmiyorum,Bilmiyorum,Fri Jun 25 2021 10:04:12 GMT+0300 (+03)
Üzgün,Çalışma,Kimse yok,Bilmiyorum,Bilmiyorum,Bilmiyorum,Fri Jun 25 2021 20:02:34 GMT+0300 (+03)
Gergin,Çalışma,Kimse yok,Evet,Evet,Bilmiyorum,Sat Jun 26 2021 11:41:32 GMT+0300 (+03)
Gergin,Diğer,Aile Üyeleri,Evet,Evet,Bilmiyorum,Sat Jun 26 2021 12:18:33 GMT+0300 (+03)
Kızgın,Dinlenme,Kimse yok,Evet,Evet,Bilmiyorum,Sat Jun 26 2021 22:57:42 GMT+0300 (+03)
Üzgün,Müzik Dinlemek,Kimse yok,Bilmiyorum,Evet,Evet,Sun Jun 27 2021 17:53:39 GMT+0300 (+03)
Üzgün,Çalışma,Kimse yok,Evet,Evet,Bilmiyorum,Sun Jun 27 2021 18:44:46 GMT+0300 (+03)
Mutsuz,Çalışma,Kimse yok,Evet,Bilmiyorum,Bilmiyorum,Mon Jun 28 2021 10:37:25 GMT+0300 (+03)
Üzgün,Çalışma,Kimse yok,Bilmiyorum,Bilmiyorum,Bilmiyorum,Mon Jun 28 2021 19:05:30 GMT+0300 (+03)
Kızgın,Çalışma,Kimse yok,Evet,Evet,Hayır,Mon Jun 28 2021 20:05:30 GMT+0300 (+03)
Endişeli,Çalışma,Kimse yok,Evet,Evet,Hayır,Tue Jun 29 2021 10:02:26 GMT+0300 (+03)
Yorgun,Boş zaman,Kimse yok,Bilmiyorum,Bilmiyorum,Hayır,Tue Jun 29 2021 14:02:26 GMT+0300 (+03)
Gergin,Çalışma,Kimse yok,Evet,Evet,Hayır,Tue Jun 29 2021 15:02:26 GMT+0300 (+03)
İyi,Sohbet,Arkadaşlar,Hayır,Hayır,Evet,Wed Jun 30 2021 19:12:22 GMT+0300 (+03)
Yorgun,Boş zaman,Kimse yok,Bilmiyorum,Bilmiyorum,Bilmiyorum,Wed Jun 30 2021 21:22:13 GMT+0300 (+03)
Gergin,Çalışma,Kimse yok,Bilmiyorum,Evet,Evet,Thu Jul 01 2021 15:53:13 GMT+0300 (+03)
Yorgun,Temizlik,Aile Üyeleri,Evet,Evet,Evet,Fri Jul 02 2021 10:41:08 GMT+0300 (+03)
İyi,Dinlenme,Aile Üyeleri,Hayır,Hayır,Evet,Fri Jul 02 2021 14:16:40 GMT+0300 (+03)
Yorgun,Çalışma,Kimse yok,Evet,Evet,Bilmiyorum,Sat Jul 03 2021 12:06:20 GMT+0300 (+03)
İyi,Yeme / İçme,Aile Üyeleri,Hayır,Hayır,Evet,Mon Jul 05 2021 14:34:48 GMT+0300 (+03)
Gergin,Çalışma,Kimse yok,Evet,Bilmiyorum,Bilmiyorum,Wed Jul 07 2021 18:31:45 GMT+0300 (+03)
Kötü,Boş zaman,Kimse yok,Evet,Hayır,Bilmiyorum,Sat Jul 10 2021 01:33:23 GMT+0300 (+03)
Üzgün,Çalışma,Kimse yok,Evet,Hayır,Hayır,Sat Jul 10 2021 03:42:30 GMT+0300 (+03)
Rahat,Çalışma,Kimse yok,Hayır,Hayır,Evet,Fri Sep 24 2021 11:22:38 GMT+0300 (+03)
Rahat,İş,Kimse yok,Hayır,Hayır,Evet,Fri Sep 24 2021 12:02:09 GMT+0300 (+03)
Nötr,Yeme / İçme,Meslektaş,Hayır,Hayır,Evet,Fri Sep 24 2021 13:09:12 GMT+0300 (+03)
Rahat,İş,Aile Üyeleri,Hayır,Hayır,Evet,Fri Sep 24 2021 14:10:24 GMT+0300 (+03)
Rahat,İş,Kimse yok,Hayır,Hayır,Bilmiyorum,Fri Sep 24 2021 16:05:58 GMT+0300 (+03)
Rahat,Dinlenme,Meslektaş,Hayır,Evet,Hayır,Fri Sep 24 2021 17:03:57 GMT+0300 (+03)
Mutlu,Diğer,Arkadaşlar,Hayır,Hayır,Evet,Fri Sep 24 2021 18:06:30 GMT+0300 (+03)
Mutlu,Temizlik,Arkadaşlar,Hayır,Hayır,Evet,Sat Sep 25 2021 10:19:04 GMT+0300 (+03)
Nötr,Diğer,Arkadaşlar,Hayır,Hayır,Evet,Sat Sep 25 2021 11:03:33 GMT+0300 (+03)
Heyecanlı,Hobi,Arkadaşlar,Hayır,Hayır,Evet,Sat Sep 25 2021 12:04:54 GMT+0300 (+03)
Rahat,Yeme / İçme,Aile Üyeleri,Hayır,Hayır,Evet,Sun Sep 26 2021 11:04:14 GMT+0300 (+03)
Nötr,Temizlik,Aile Üyeleri,Hayır,Hayır,Evet,Sun Sep 26 2021 12:02:07 GMT+0300 (+03)
Enerjik,Spor,Kimse yok,Hayır,Hayır,Evet,Sun Sep 26 2021 14:05:07 GMT+0300 (+03)
Yorgun,Yeme / İçme,Aile Üyeleri,Hayır,Hayır,Bilmiyorum,Sun Sep 26 2021 16:03:30 GMT+0300 (+03)
Nötr,Video İzlemek,Aile Üyeleri,Hayır,Hayır,Bilmiyorum,Sun Sep 26 2021 17:02:17 GMT+0300 (+03)
Rahat,Dinlenme,Aile Üyeleri,Hayır,Hayır,Bilmiyorum,Sun Sep 26 2021 18:12:06 GMT+0300 (+03)
Gergin,Sohbet,Aile Üyeleri,Bilmiyorum,Bilmiyorum,Hayır,Sun Sep 26 2021 19:03:02 GMT+0300 (+03)
Enerjik,Çalışma,Aile Üyeleri,Hayır,Hayır,Evet,Sun Sep 26 2021 20:02:15 GMT+0300 (+03)
Gergin,Çalışma,Meslektaş,Evet,Hayır,Evet,Mon Sep 27 2021 10:08:01 GMT+0300 (+03)
Gergin,Çalışma,Kimse yok,Hayır,Hayır,Evet,Mon Sep 27 2021 11:02:15 GMT+0300 (+03)
Enerjik,Çalışma,Kimse yok,Hayır,Hayır,Evet,Mon Sep 27 2021 12:02:44 GMT+0300 (+03)
Yorgun,Yeme / İçme,Meslektaş,Hayır,Hayır,Bilmiyorum,Mon Sep 27 2021 13:05:13 GMT+0300 (+03)
Rahat,Dinlenme,Meslektaş,Hayır,Hayır,Bilmiyorum,Mon Sep 27 2021 14:02:11 GMT+0300 (+03)
Heyecanlı,Çalışma,Meslektaş,Hayır,Hayır,Bilmiyorum,Mon Sep 27 2021 15:10:28 GMT+0300 (+03)
Yorgun,Çalışma,Meslektaş,Hayır,Hayır,Hayır,Mon Sep 27 2021 16:02:52 GMT+0300 (+03)
Yorgun,Boş zaman,Kimse yok,Hayır,Evet,Hayır,Mon Sep 27 2021 17:04:44 GMT+0300 (+03)
Yorgun,Boş zaman,Kimse yok,Hayır,Hayır,Hayır,Mon Sep 27 2021 18:02:58 GMT+0300 (+03)
Üzgün,Boş zaman,Aile Üyeleri,Evet,Hayır,Hayır,Mon Sep 27 2021 19:02:20 GMT+0300 (+03)
Mutsuz,Boş zaman,Aile Üyeleri,Evet,Hayır,Hayır,Mon Sep 27 2021 20:02:18 GMT+0300 (+03)
Nötr,Çalışma,Meslektaş,Hayır,Bilmiyorum,Bilmiyorum,Tue Sep 28 2021 10:05:19 GMT+0300 (+03)
Nötr,Çalışma,Meslektaş,Hayır,Bilmiyorum,Bilmiyorum,Tue Sep 28 2021 11:02:17 GMT+0300 (+03)
Gergin,Çalışma,Meslektaş,Evet,Evet,Bilmiyorum,Tue Sep 28 2021 12:03:26 GMT+0300 (+03)
Nötr,Çalışma,Meslektaş,Hayır,Hayır,Bilmiyorum,Tue Sep 28 2021 13:04:51 GMT+0300 (+03)
Gergin,İş,Meslektaş,Evet,Hayır,Bilmiyorum,Tue Sep 28 2021 14:05:33 GMT+0300 (+03)
Gergin,İş,Meslektaş,Evet,Hayır,Bilmiyorum,Tue Sep 28 2021 15:16:06 GMT+0300 (+03)
Üzgün,Çalışma,Meslektaş,Evet,Evet,Hayır,Tue Sep 28 2021 16:05:39 GMT+0300 (+03)
Rahat,Boş zaman,Meslektaş,Hayır,Hayır,Bilmiyorum,Tue Sep 28 2021 17:05:31 GMT+0300 (+03)
Yorgun,Diğer,Yabancılar,Hayır,Evet,Hayır,Tue Sep 28 2021 18:04:24 GMT+0300 (+03)
Enerjik,İş,Meslektaş,Hayır,Hayır,Evet,Wed Sep 29 2021 10:09:56 GMT+0300 (+03)
Rahat,Çalışma,Meslektaş,Hayır,Bilmiyorum,Evet,Wed Sep 29 2021 11:03:49 GMT+0300 (+03)
Nötr,Dinlenme,Meslektaş,Hayır,Hayır,Bilmiyorum,Wed Sep 29 2021 12:03:50 GMT+0300 (+03)
Rahat,Yeme / İçme,Meslektaş,Hayır,Hayır,Evet,Wed Sep 29 2021 13:12:59 GMT+0300 (+03)
Rahat,Çalışma,Meslektaş,Hayır,Hayır,Evet,Wed Sep 29 2021 14:02:31 GMT+0300 (+03)
Gergin,İş,Kimse yok,Evet,Bilmiyorum,Evet,Wed Sep 29 2021 15:38:47 GMT+0300 (+03)
Gergin,İş,Kimse yok,Hayır,Evet,Evet,Wed Sep 29 2021 16:02:14 GMT+0300 (+03)
Rahat,Çalışma,Kimse yok,Hayır,Hayır,Hayır,Wed Sep 29 2021 18:02:59 GMT+0300 (+03)
Gergin,Çalışma,Kimse yok,Hayır,Hayır,Evet,Thu Sep 30 2021 10:05:10 GMT+0300 (+03)
Rahat,Çalışma,Kimse yok,Hayır,Hayır,Evet,Thu Sep 30 2021 12:04:12 GMT+0300 (+03)
Heyecanlı,İş,Kimse yok,Hayır,Hayır,Evet,Thu Sep 30 2021 14:03:14 GMT+0300 (+03)
Gergin,İş,Kimse yok,Hayır,Hayır,Bilmiyorum,Thu Sep 30 2021 15:02:56 GMT+0300 (+03)
Kızgın,Çalışma,Kimse yok,Hayır,Bilmiyorum,Hayır,Thu Sep 30 2021 16:02:57 GMT+0300 (+03)
Rahat,Çalışma,Kimse yok,Bilmiyorum,Bilmiyorum,Hayır,Thu Sep 30 2021 17:04:59 GMT+0300 (+03)
Yorgun,Çalışma,Meslektaş,Hayır,Hayır,Hayır,Thu Sep 30 2021 18:03:07 GMT+0300 (+03)
Yorgun,Diğer,Kimse yok,Evet,Evet,Hayır,Thu Sep 30 2021 19:19:33 GMT+0300 (+03)
İyi,Çalışma,Kimse yok,Hayır,Hayır,Evet,Tue Nov 09 2021 11:26:53 GMT+0300 (+03)
Nötr,Çalışma,Kimse yok,Hayır,Hayır,Evet,Tue Nov 09 2021 15:08:22 GMT+0300 (+03)
Yorgun,İş,Kimse yok,Hayır,Bilmiyorum,Evet,Tue Nov 09 2021 16:03:57 GMT+0300 (+03)
Yorgun,Dinlenme,Kimse yok,Hayır,Evet,Bilmiyorum,Tue Nov 09 2021 18:06:28 GMT+0300 (+03)
İyi,Yeme / İçme,Aile Üyeleri,Hayır,Hayır,Bilmiyorum,Tue Nov 09 2021 19:03:24 GMT+0300 (+03)
Yorgun,Dinlenme,Kimse yok,Hayır,Hayır,Hayır,Tue Nov 09 2021 20:05:26 GMT+0300 (+03)
Mutlu,İş,Meslektaş,Hayır,Hayır,Evet,Wed Nov 10 2021 10:05:27 GMT+0300 (+03)
İyi,İş,Meslektaş,Hayır,Bilmiyorum,Evet,Wed Nov 10 2021 12:03:36 GMT+0300 (+03)
İyi,İş,Meslektaş,Hayır,Hayır,Evet,Wed Nov 10 2021 14:04:24 GMT+0300 (+03)
Heyecanlı,İş,Meslektaş,Hayır,Bilmiyorum,Evet,Wed Nov 10 2021 16:03:48 GMT+0300 (+03)
İyi,Çalışma,Arkadaşlar,Hayır,Hayır,Evet,Wed Nov 10 2021 18:04:41 GMT+0300 (+03)
Yorgun,Diğer,Kimse yok,Hayır,Evet,Hayır,Wed Nov 10 2021 20:43:25 GMT+0300 (+03)
Nötr,İş,Meslektaş,Evet,Hayır,Evet,Thu Nov 11 2021 10:06:11 GMT+0300 (+03)
Mutlu,İş,Kimse yok,Hayır,Hayır,Evet,Thu Nov 11 2021 13:09:11 GMT+0300 (+03)
Endişeli,İş,Kimse yok,Evet,Hayır,Evet,Thu Nov 11 2021 14:53:12 GMT+0300 (+03)
Yorgun,İş,Kimse yok,Hayır,Evet,Bilmiyorum,Thu Nov 11 2021 16:04:01 GMT+0300 (+03)
İyi,Yeme / İçme,Aile Üyeleri,Hayır,Hayır,Bilmiyorum,Thu Nov 11 2021 18:04:48 GMT+0300 (+03)
Endişeli,Çalışma,Kimse yok,Hayır,Evet,Hayır,Thu Nov 11 2021 20:22:11 GMT+0300 (+03)
İyi,İş,Meslektaş,Hayır,Hayır,Evet,Fri Nov 12 2021 10:14:22 GMT+0300 (+03)
Enerjik,Yeme / İçme,Meslektaş,Hayır,Hayır,Evet,Fri Nov 12 2021 12:30:56 GMT+0300 (+03)
Yorgun,İş,Kimse yok,Hayır,Evet,Hayır,Fri Nov 12 2021 18:05:33 GMT+0300 (+03)
İyi,Diğer,Yabancılar,Hayır,Hayır,Evet,Sat Nov 13 2021 11:33:36 GMT+0300 (+03)
