C1,C2,C3,C4,C5,C6,Tarih
Rahat,Dinlenme,Kimse yok,Hayır,Bilmiyorum,Evet,Wed Feb 03 2021 14:06:56 GMT+0300 (+03)
İyi,Video İzlemek,Kimse yok,Hayır,Hayır,Evet,Wed Feb 03 2021 16:03:57 GMT+0300 (+03)
Gergin,Diğer,Aile Üyeleri,Evet,Hayır,Hayır,Wed Feb 03 2021 19:40:38 GMT+0300 (+03)
Yorgun,Dinlenme,Arkadaşlar,Hayır,Bilmiyorum,Bilmiyorum,Thu Feb 04 2021 10:18:51 GMT+0300 (+03)
İyi,Çalışma,Meslektaş,Hayır,Bilmiyorum,Evet,Thu Feb 04 2021 12:16:53 GMT+0300 (+03)
İyi,Dinlenme,Kimse yok,Hayır,Hayır,Evet,Thu Feb 04 2021 16:06:25 GMT+0300 (+03)
İyi,Video İzlemek,Aile Üyeleri,Hayır,Hayır,Evet,Thu Feb 04 2021 18:07:43 GMT+0300 (+03)
Rahat,Dinlenme,Aile Üyeleri,Hayır,Hayır,Bilmiyorum,Thu Feb 04 2021 20:39:36 GMT+0300 (+03)
Rahat,Dinlenme,Arkadaşlar,Hayır,Bilmiyorum,Evet,Fri Feb 05 2021 10:17:33 GMT+0300 (+03)
İyi,İş,Meslektaş,Hayır,Hayır,Evet,Fri Feb 05 2021 12:28:58 GMT+0300 (+03)
İyi,Diğer,Aile Üyeleri,Hayır,Bilmiyorum,Evet,Fri Feb 05 2021 14:19:01 GMT+0300 (+03)
Mutlu,Video İzlemek,Kimse yok,Hayır,Hayır,Evet,Fri Feb 05 2021 18:03:58 GMT+0300 (+03)
İyi,Video İzlemek,Kimse yok,Hayır,Hayır,Bilmiyorum,Fri Feb 05 2021 20:29:56 GMT+0300 (+03)
İyi,Çalışma,Meslektaş,Hayır,Hayır,Evet,Sat Feb 06 2021 10:37:52 GMT+0300 (+03)
İyi,Çalışma,Meslektaş,Hayır,Bilmiyorum,Evet,Sat Feb 06 2021 12:02:14 GMT+0300 (+03)
İyi,Dinlenme,Aile Üyeleri,Hayır,Hayır,Evet,Sat Feb 06 2021 14:32:53 GMT+0300 (+03)
Mutlu,Sohbet,Aile Üyeleri,Hayır,Hayır,Evet,Sat Feb 06 2021 16:20:04 GMT+0300 (+03)
Mutlu,Yeme / İçme,Aile Üyeleri,Hayır,Hayır,Evet,Sat Feb 06 2021 18:26:23 GMT+0300 (+03)
Rahat,Video İzlemek,Kimse yok,Hayır,Hayır,Bilmiyorum,Sat Feb 06 2021 20:05:18 GMT+0300 (+03)
Nötr,İş,Arkadaşlar,Hayır,Hayır,Hayır,Mon Feb 08 2021 12:53:28 GMT+0300 (+03)
Gergin,İş,Arkadaşlar,Hayır,Hayır,Hayır,Mon Feb 08 2021 14:16:38 GMT+0300 (+03)
Kötü,İş,Arkadaşlar,Hayır,Hayır,Hayır,Mon Feb 08 2021 16:11:36 GMT+0300 (+03)
Yorgun,Diğer,Aile Üyeleri,Hayır,Hayır,Hayır,Mon Feb 08 2021 18:03:18 GMT+0300 (+03)
İyi,Yeme / İçme,Aile Üyeleri,Hayır,Hayır,Hayır,Mon Feb 08 2021 20:01:33 GMT+0300 (+03)
Gergin,Yeme / İçme,Aile Üyeleri,Hayır,Hayır,Hayır,Tue Feb 09 2021 10:02:46 GMT+0300 (+03)
